unicef_region,country_iso3,country,vaccine,year,immunization_coverage,antigen_family,gdp_per_capita_usd,health_exp_pct_gdp,population_total,gni_per_capita_usd,gavi_eligible,pharma_tariff_rate,reporter_flag,oop_health_exp_pct,tariff_x_oop
MENA,BHR,Bahrain,PCV3,2020,99,PCV,24342.84446,4.55685711,1472204,23870,0,3.228203960846802,1,26.24458504,0.8472287337690872
Non-programme,BEL,Belgium,PCV3,2020,94,PCV,45906.28758,11.46253014,11538604,46330,0,1.1405311481580527,1,19.30308533,0.22015770074417762
LACR,BOL,Bolivia (Plurinational State of),PCV3,2020,68,PCV,3580.967618,8.0225811,11816299,3620,0,5.380005322592263,1,20.89839554,1.124334792388384
ESAR,BWA,Botswana,PCV3,2020,94,PCV,6323.297497,6.1213398,2365894,6600,0,3.8792194485895006,1,4.9515481,0.1920814169014639
LACR,BRA,Brazil,PCV3,2020,79,PCV,7074.194075,9.62326527,208660842,8080,0,7.454407886511722,1,26.09086418,1.9449194370929819
ECAR,BGR,Bulgaria,PCV3,2020,85,PCV,10760.21198,8.44060898,6550696,10090,0,0.6288785598641349,1,35.52528763,0.22341091723513565
EAPR,KHM,Cambodia,PCV3,2020,86,PCV,2081.739142,5.13031435,16725474,2050,0,6.733469444620557,1,60.24520493,4.056592465810587
Non-programme,CAN,Canada,PCV3,2020,84,PCV,43537.8393,13.01732922,38028638,43900,0,1.3837138797223811,1,13.6503973,0.18888244207734917
LACR,CHL,Chile,PCV3,2020,89,PCV,13114.81547,9.69734573,19370624,12960,0,0.7074553356083475,1,29.04245186,0.20546237527505576
LACR,COL,Colombia,PCV3,2020,89,PCV,5339.687114,8.69751263,50629997,5850,0,2.5815432011114234,1,14.51514149,0.37471464826679834
LACR,CRI,Costa Rica,PCV3,2020,94,PCV,12394.0494,7.82545757,5034320,11700,0,1.4924207518341044,1,20.28676224,0.30276384954500524
Non-programme,CYP,Cyprus,PCV3,2020,81,PCV,28130.3418,8.64796448,1302247,26780,0,0.6466651322143865,1,21.36680603,0.138171684
Non-programme,DNK,Denmark,PCV3,2020,96,PCV,60985.48856,10.69237614,5831404,62710,0,0.68683427,1,13.37706089,0.091878238
LACR,DOM,Dominican Republic,PCV3,2020,69,PCV,7135.222733,4.96490288,11008300,7080,0,3.425993573254095,1,24.63149643,0.8438734846881119
LACR,ECU,Ecuador,PCV3,2020,76,PCV,5463.645153,8.60608387,17546065,5410,0,3.0408379343080245,1,30.15482903,0.9169594801699685
LACR,SLV,El Salvador,PCV3,2020,93,PCV,3997.192796,8.95105076,6234673,3800,0,1.9188670545408162,1,27.421278,0.5261778694760488
EAPR,FJI,Fiji,PCV3,2020,97,PCV,4620.645724,5.28987408,914963,4560,0,9.516107053,1,22.8302269,2.1725488321524438
Non-programme,FIN,Finland,PCV3,2020,86,PCV,48828.68469,9.69977188,5529543,49630,0,1.011772810114535,1,16.46622276,0.16660076473857113
Non-programme,FRA,France,PCV3,2020,95,PCV,39169.8606,12.12949371,67601110,39690,0,1.2424214225941344,1,9.42379379,0.11708323286805568
ECAR,GEO,Georgia,PCV3,2020,82,PCV,4300.857013,9.22991848,3722716,4330,0,0.26565180102915953,1,54.57889175,0.14498980891563037
Non-programme,DEU,Germany,PCV3,2020,82,PCV,47394.87345,12.46780777,83160871,48540,0,1.3040107735751743,1,11.3380394,0.14784925528819803
WCAR,GHA,Ghana,PCV3,2020,95,PCV,2195.454817,4.4331708,31887809,2250,0,9.492825716042683,1,23.7503624,2.254580509560532
ECAR,GRC,Greece,PCV3,2020,96,PCV,17886.73317,9.38074493,10698599,18030,0,0.5959241851638557,1,33.44511032,0.1993075011516126
LACR,GTM,Guatemala,PCV3,2020,87,PCV,4477.61785,6.4591527,17357325,4360,0,1.4859069573893653,1,56.29158783,0.8364406199909152
LACR,HND,Honduras,PCV3,2020,80,PCV,2307.614943,9.21912384,10119640,2120,0,2.4146742787941387,1,50.04225922,1.2083575619128282
Non-programme,HUN,Hungary,PCV3,2020,99,PCV,16386.93088,7.230515,9670419,16330,0,0.7477910993768412,1,26.14737511,0.19552774379325552
Non-programme,ISL,Iceland,PCV3,2020,93,PCV,60127.93936,9.64908886,366463,65670,0,0.5436643853473582,1,14.87056255,0.080845952
ROSA,IND,India,PCV3,2020,21,PCV,1907.042516,3.34146094,1402617695,1900,0,7.114921873,1,49.51094055,3.522664738861073
EAPR,IDN,Indonesia,PCV3,2020,4,PCV,3853.702888,3.42067289,274814866,3850,0,3.2478870021218937,1,31.19621658,1.0132178634556153
